"","  pl_name","   sy_snum","   sy_pnum","discoverymethod","  disc_year","disc_facility","pl_controv_flag","  pl_orbper","  pl_orbsmax","   pl_rade","  pl_bmasse"," pl_orbeccen","    pl_eqt","st_spectype","   sy_dist"
"","Length:179        ","Min.   :1.000  ","Min.   :1.00  ","Length:179        ","Min.   :2009  ","Length:179        ","Mode :logical  ","Min.   : 0.1797  ","Min.   :0.00580  ","Min.   : 0.718  ","Min.   :  0.4  ","Min.   :0.00000  ","Min.   : 353  ","Length:179        ","Min.   :   8.074  "
"","Class :character  ","1st Qu.:1.000  ","1st Qu.:1.00  ","Class :character  ","1st Qu.:2016  ","Class :character  ","FALSE:179      ","1st Qu.: 2.4218  ","1st Qu.:0.03424  ","1st Qu.: 4.151  ","1st Qu.: 26.0  ","1st Qu.:0.00000  ","1st Qu.: 957  ","Class :character  ","1st Qu.: 115.698  "
"","Mode  :character  ","Median :1.000  ","Median :1.00  ","Mode  :character  ","Median :2018  ","Mode  :character  ",NA,"Median : 3.4655  ","Median :0.04500  ","Median :11.904  ","Median :163.4  ","Median :0.00000  ","Median :1370  ","Mode  :character  ","Median : 271.103  "
"",NA,"Mean   :1.179  ","Mean   :1.33  ",NA,"Mean   :2017  ",NA,NA,"Mean   : 4.0537  ","Mean   :0.04649  ","Mean   :10.269  ","Mean   :215.9  ","Mean   :0.03091  ","Mean   :1306  ",NA,"Mean   : 338.286  "
"",NA,"3rd Qu.:1.000  ","3rd Qu.:1.00  ",NA,"3rd Qu.:2020  ",NA,NA,"3rd Qu.: 4.8530  ","3rd Qu.:0.05600  ","3rd Qu.:14.325  ","3rd Qu.:305.8  ","3rd Qu.:0.05850  ","3rd Qu.:1613  ",NA,"3rd Qu.: 512.714  "
"",NA,"Max.   :3.000  ","Max.   :4.00  ",NA,"Max.   :2022  ",NA,NA,"Max.   :12.2519  ","Max.   :0.09800  ","Max.   :21.017  ","Max.   :940.7  ","Max.   :0.17600  ","Max.   :2492  ",NA,"Max.   :1148.930  "
